JobRefNo,DigerPozisyon,Qualifications,sub-classification
3427524,Saha Mühendisi,"<p class=""x_x_x_MsoNormal"">SAHA MÜHENDİSİ</p><p class=""x_x_x_MsoListParagraphCxSpFirst"">·&nbsp; &nbsp; &nbsp; &nbsp; &nbsp;Üniversitelerin inşaat mühendisliği bölümlerinden mezun,&nbsp;</p><p class=""x_x_x_MsoListParagraphCxSpMiddle"">·&nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;Konusunda en az 3 yıl deneyimli,&nbsp;</p><p class=""x_x_x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Saha uygulamalarında deneyimli,&nbsp;</p><p class=""x_x_x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Yoğun iş temposuna ayak uydurabilen,</p><p class=""x_x_x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Ekip yönetimi konusunda tecrübeli,</p><p class=""x_x_x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Malzeme ve detay bilgisine sahip,</p><p class=""x_x_x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Kendine güvenen, kişisel gelişimine önem veren ve araştırmacı,</p><p class=""x_x_x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Uzun vadeli çalışmayı düşünen,</p><p class=""x_x_x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Ulaşım problemi olmayan,</p><p class=""x_x_x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Araç kullanabilen, <br><br></p><p></p><p class=""x_x_x_MsoListParagraphCxSpLast""><strong>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </strong><strong>İstanbul ÇEKMEKÖY&nbsp; Okul &nbsp;Projemizde &nbsp;Görevlendirmek Üzere&nbsp; çalışma arkadaşı arıyoruz.</strong><strong></strong></p>",Teknik Saha Hizmetleri
3427484,Tercüman (İngilizce),"<p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal""><strong>Acıbadem Sağlık Gru</strong><strong>bu</strong> olarak&nbsp;Uluslararası Hasta Hizmetleri&nbsp;bünyesine bağlı görevlendirilmek üzere&nbsp;<strong>Acıbadem Kozyatağı Hastanesi</strong>'nde çalışacak&nbsp;<strong>İngilizce</strong>bilen<strong> ""Tercüman"" </strong>aramaktayız.</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal""><span><br></span></p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal""><strong>GENEL NİTELİKLER</strong></p><ul><li><strong>Çok iyi derecede yazılı ve sözlü İngilizce dil bilgisi olup aktif olarak kullanabilen</strong><span>,</span></li><li><strong>Hasta ihtiyaçları doğrultusunda oluşabilecek esnek çalışma saatlerine uyum gösterebilecek</strong><span>,</span></li><li><span>Hasta gizliliği ve kişisel veri korunması konusunda yüksek hassasiyete sahip,</span></li><li><span>Değişim ve gelişime açık, motivasyonu yüksek,</span></li><li><span>İletişimi kuvvetli, hizmet odaklı çalışabilecek,</span></li><li><span>Tercihen sağlık sektörü deneyimli,</span></li><li><span>Anadolu Yakası'nda ikamet eden/edebilecek,</span></li><li><span>Tam zamanlı çalışabilecek.</span></li></ul><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal""><span><br></span></p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal""><strong>İŞ TANIMI</strong></p><ul><li><span>Yurtdışından gelen yabancı hastaları karşılayıp tedavi süreçlerinden sorumlu olarak hastane içi koordinasyonu sağlamak,</span></li><li><span>Hastanın işlemleri ile ilgili süreç takibini yaparak tıbbi işlemlerle ilgili hasta ve yakınlarına bilgi vermek,</span></li><li><span>Etik değerlere bağlı kalarak hasta gizliliğini, güvenliğini ve memnuniyetini sürdürmek,</span></li><li><span>Hasta ve doktor arasında iletişimi kurarak dil desteği sağlamak,</span></li><li><span>Hastaların tüm süreçlerini günlük ve eksiksiz olarak raporlamak.</span></li></ul>",Tercüme Hizmetleri
3427416,Teknik Satış Mühendisi,<p>Üniversitelerin Makina /Elektrik Teknisyeni / Mekatronik Teknisyeni ve</p><p>Makina / Elktrik Mühendisi / Metaurlıji Ve Malzeme Mühendisi&nbsp; bölümlerinden&nbsp; mezun</p><p>Teknik Resim bilgisi olan</p><p>Ofis ve Exel Bilgisi iyi olan&nbsp;</p>,Sipariş Takip
3427382,Anketör,<p><br>Firmamızda çalışmak üzere ekip arkadaşı aramaktayız.<br>? EKİP ÇALIŞMASINA YATKIN<br>? İKNA KABİLİYETİ OLAN<br>? İLETİŞİM BECERİLERİ GELİŞMİŞ<br>? DİKSİYONU DÜZGÜN<br>? DİSİPLİNLİ<br>? SABIRLI<br>? GÜVENİLİR<br>? AZİMLİ<br>? KENDİNİ GELİŞTİREBİLEN<br>? ÖĞRENMEYE AÇIK<br></p>,Anketörlük
3427380,Senior Chef De Partie,"<p>İstanbul Etiler'de bulunan Overdose Healty Food restaurantımızın pastane bölümü için vegan , vejeteryan ve glütensiz tatlılar üzerine eğitim almış ve çalışmış yeni reçeteler oluşturabilecek ve mevcut reçeteleri uygun şekilde yapılmasını sağlayacak Chef de partie aramaktayız.&nbsp;<br></p>",Aşçılık
3427329,Temizlik Görevlisi ,"<p>Turizm sektöründe hizmet veren seyahat acentemizde; aşağıda belirtilen nitelikler ve iş tanımına uygun, Kadıköy Koşuyolu ve çevresinde&nbsp; çalışabilecek ""Temizlik Görevlisi"" aramaktayız.</p><p><br></p><p><strong>Genel Nitelikler</strong></p><ul><li>Tercihen en az lise mezunu olmak,</li><li>Temizlik operasyonu konusunda en az 2 yıl tecrübeli olmak,</li><li>Ofis temizlik işlerinde deneyimli olmak,</li><li>Hijyen konusunda titiz, düzenli ve tertipli çalışabilecek,</li><li>Kişisel hijyen, öz bakım ve dış görünümüne özen göstermek ve temizlik kurallarına en üst derecede önem vermek,</li><li>Güler yüzlü, iletişim becerileri gelişmiş, diksiyonu düzgün olmak,</li><li>Dikkatli, titiz davranan, sorumluluk sahibi ve güvenilir olmak,</li></ul><p><br></p><p><strong>Görev Tanımı</strong></p><ul><li>Temizlik malzemelerini ve araçlarını kullanma becerisine sahip olmak,</li><li>Yönetici odalarının ve ofisin genel temizliğinden sorumlu olmak,</li><li>Tüm bina lavabo/WC alanlarının günlük temizliğini yapabilecek,</li><li>Ortak alan, asansör ve merdiven vb temizliklerini yapabilecek,</li><li>Ofislerde; tuvaletler, çalışma masası, toplantı masası, kapı, sandalyeler, sehpa, dolaplar, camlar, zemin, balkon, koltuklar vb. temizliğini günlük olarak yapmak,</li><li>Çöpleri toplamak ve temizliği sağlamak,</li><li>Tüm koridor/açık ofisin tozların alınması, süpürülmesi, nemli paspas ve mob ile kurulama vb. gibi temizlik işlerini yürütmek,</li><li>Temizlik- malzeme stok kontrolü yapmak, malzemelerin tedariki için ilgili yöneticiye haftalık bilgi vermek,</li><li>Gerektiğinde mutfakta görev almak ve çay/kahve hazırlanmasına ve servisine yardımcı olmak.</li></ul><p>#depremistihdamseferberligi</p>",Temizlik Hizmetleri
3427301,Ev Hizmet Elemanı,"<p class=""x_MsoNormal"" align=""center"">Bebek Bakıcısı ve Ev Yardımcısı İş İlanı</p><p class=""x_MsoNormal"" align=""center"">&nbsp;</p><p class=""x_MsoNormal"" align=""center"">6 Aylık bebeğimiz için anneye yardımcı olacak referanslı, eğitici oyunlar oynatan, yemeğini bakımını üstlenebilecek, sigara kullanmayan bebek bakıcısı ve ev yardımcısı aramaktayız.</p><p class=""x_MsoNormal"" align=""center"">Seyahat sıkıntısı olmaması önemlidir.</p><p class=""x_MsoNormal"">Çalışma Günü : 6 gün</p><p class=""x_MsoNormal"" align=""center"">Çalışma Yeri : (Bodrum & İstanbul)</p><p class=""x_MsoNormal"" align=""center"">Yaş Aralığı : 25-45</p><p></p><p class=""x_MsoNormal"" align=""center"">İmkanlar : Ücret + sigorta + yol&nbsp; istenirse izinle ayda 4 gün tek seferde kullanılabilir.</p>",Temizlik Hizmetleri
3427286,Temizlik Görevlisi,"<p>Şirketimizde tam zamanlı çalışabilecek temizlik işlerinde tecrübeli, disiplinli, çalışma ortamına uyum sağlayabilecek bay eleman alınacaktır.</p>",Temizlik Hizmetleri
3427247,Spa Terapisti,"<p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal""><strong>Albayrak Grubu</strong>&nbsp;bünyesinde faaliyet gösteren&nbsp;<strong>Katre Island</strong><strong>&nbsp;</strong>Otelimizin<strong>&nbsp;</strong><strong>Demokrasi ve Özgürlükler Adası</strong><strong>&nbsp;</strong>lokasyonunda&nbsp;görevlendirilmek üzere;</p><ul type=""disc""><li class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">Misafir memnuniyeti ve hizmet kalitesinin optimizasyonu için çalışmalar yürütebilecek,</li><li class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">Sorumlu olduğu masaj alanının hijyen ve temizlik açısından koşulları uygun hale getirebilecek,</li><li>Tüm masaj uygulamalarında, misafirlerin sağlık şartlarını dikkate alarak işlem yapabilecek,</li><li>Tüm malzemeleri temin edebilecek ve spa bölümünde gereken her türlü ihtiyaç listesini tamamlayabilecek,</li><li>Misafir ile iletişimde bulunurken davranış ve iletişim kuralları çerçevesinde hareket edebilecek</li></ul><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">aşağıdaki niteliklere sahip takım arkadaşları arıyoruz.&nbsp;</p><ul type=""disc""><li class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">Turizm ve otelcilik alanında&nbsp;<strong>en az 2 yıl</strong> tecrübe sahibi,</li><li class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">Masaj teknikleri, kese ve köpük masajı konusunda tecrübeli,</li><li class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">Masaj Terapisi için gerekli sertifika veya belgeye sahip olan,</li><li class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">Tercihen Halk Eğitim Merkezi / MEB onaylı hijyen sertifikasına sahip,</li><li class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">Tercihen iyi seviyede&nbsp;<strong>İngilizce</strong> bilen,</li><li class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">Misafir memnuniyeti odaklı çalışma prensibine hakim olan,</li><li class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">Kişisel bakımına ve dış görünümüne özen gösteren,</li><li class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">Çözüm odaklı, problem çözme ve koordinasyon becerisine sahip,</li><li class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">Güler yüzlü, iletişim kabiliyeti gelişmiş olan,</li><li class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">Zamanı ve kaynakları verimli kullanabilen,</li><li class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">Dinamik, sabırlı, sorumluluk sahibi, gerektiğinde inisiyatif kullanabilen,</li><li class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">Esnek çalışma saatlerine ve yoğun iş temposuna ayak uydurabilen,</li><li class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">Tercihen İstanbul Anadolu yakasında ikamet eden ya da edebilecek olan,</li></ul><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle""><strong>&nbsp; &nbsp; &nbsp; “Spa Terapisti”&nbsp;</strong>alınacaktır.</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle""><strong>Not:&nbsp;İhtiyaç durumunda Lojman da konaklama imkanı sunulmaktadır.</strong></p>",Masaj / Spa Hizmetleri
3427241,Çay / Kahve Servis Elemanı,"<p>Şirketimizde tam zamanlı çalışabilecek, çay kahve servis işleri yapabilecek, yemek , içecek servis sunumunda deneyimli, disiplinli, işyeri kurallarına uyum gösterecek personel alınacaktır.<br></p>",Yiyecek / İçecek Servisi
3427233,Aşçı,"<p>Shift sistemi ile çalışabilecek,</p><p>Otel mutfağı deneyimi olan,</p><p>Alacart ve sulu yemek deneyimi olan,</p><p>Çalışma arkadaşları arıyoruz.</p>",Aşçılık
3427224,Terzi,"<p>NG Sapanca ve NG Enjoy otellerimizde ""Terzi"" olarak görevlendirilmek üzere&nbsp;aşağıda belirtilen niteliklere sahip;<br></p><p></p><li>En az 2 yıl Terzilik tecrübesi olan,</li><li>Tekstil sayımı konusunda deneyimli,</li><li>Vardiyalı sistemde çalışabilecek,</li><li>Takım çalışmasına yatkın,</li><li>İnsan ilişkileri ve iletişim gücü yüksek,<br>‘Her bir konuğumuzu, tek bir konuğumuzmuş gibi ağırlayacak’ takım arkadaşları arıyoruz.<br><p></p></li>",Terzi
3427218,Mekanik Montaj Ustası,"<p>GENEL NİTELİKLER VE İŞ TANIMI</p><p>Savunma Sanayi, Havacılık, Otomotiv, Beyaz Eşya ve Medikal sektörlerine yönelik elektromekanik sistemler, endüstriyel otomasyon sistemleri, test sistemleri ve ürün geliştirme projeleri gerçekleştiren AREN TEKNOLOJİ A.Ş. bünyesine dahil etmek üzere ‘Mekanik Montaj Ustası’ unvanıyla çalışma arkadaşları aramaktayız.&nbsp;<br></p><ul><li>Meslek Yüksekokulu ve/veya Meslek Liselerinin Metal İşleme, Makine, Mekatronik, Makine Resim Konstrüksiyon bölümlerinden mezun,</li></ul><ul><li>Mekanik Montaj alanında en az 3 yıl tecrübeye sahip,</li></ul><ul><li>Mekanik, otomasyon, hidrolik ve pnömatik alanlarında en az 2 yıllık tecrübe sahibi,</li></ul><ul><li>Endüstriyel makine montajı konusunda tecrübeli,</li></ul><ul><li>Makine montajında kullanılan el aletlerinin etkin kullanımında tecrübeli,</li></ul><ul><li>Makine kurulum ve devreye alma işlerinde tecrübeli,</li></ul><ul><li>Talaşlı imalat tecrübesi bulunan,</li></ul><ul><li>Malzeme bilgisi olan,</li></ul><ul><li>Teknik resim okuyabilen,</li></ul><ul><li>Verilen projeye göre makinenin imalatını ve montajını yapabilecek,</li></ul><ul><li>Üretim planının zamanında karşılanmasını sağlayacak,</li></ul><ul><li>Aktif araç kullanabilen,</li></ul><ul><li>Erkek adaylar için askerlik görevini tamamlamış,</li></ul><ul><li>Seyahat engeli olmayan,</li></ul><p>adayların başvurması rica olunur.&nbsp;</p>",Mobilya Montaj / Sevkiyat
3427205,Ütücü,<p>KONYA SELÇUKLU YAZIR KURU TEMİZLEME ŞUBEMİZDE ÇALIŞACAK 20-35 YAŞ ARASI TAM ZAMANLI ve PART TİME ÇALIŞMA ARKADAŞLARI ALINACAKTIR.</p><p><br></p>,Ütü Hizmetleri
3427158,Food and Beverage Manager,"<p>A Food and Beverage Manager,&nbsp;manages the supervisors of the specific food and beverage service areas to ensure the highest quality standards are met. The role will be reporting directly to the Director of F&B.</p><p><strong>What will I be doing?</strong></p><p>Specifically, you will be responsible for performing the following tasks to the highest standards:</p><ul><li>Coordinate all Food and Beverage Outlet operations</li><li>Observe food and beverage outlet operations and take needed action to ensure all standards are being met</li><li>Assist with annual and mid-year appraisals with team members under responsibility</li><li>Develop menus and food and beverage marketing strategies</li><li>Implement new menus and promotions, such as holiday and special event promotions</li><li>Respond to guest inquiries and coordinate special arrangements and requests in food and beverage outlets</li><li>Taste test food and beverage products for consistency</li><li>Analyze forecast, cost, and revenue reports and make decisions based on that information to ensure profit maximization</li><li>Maintain exceptional levels of customer service</li><li>Ensure compliance of brand standards</li><li>Manage guest queries in a timely and efficient manner</li><li>Work within budgeted guidelines in relation to Food, Liquor Costs and Payroll</li><li>Set departmental targets and objectives, work schedules, budgets, and policies and procedures</li><li>Develop menus with other members of Food and Beverage team</li><li>Accountable for monthly stock takes</li><li>Incentivise team members to maximize sales and revenue</li><li>Ensure communication meetings are conducted and post-meeting minutes generated</li><li>Be environmentally aware</li><li>Assist other departments wherever necessary and maintain good working relationships</li><li>Comply with hotel security, fire regulations and all health and safety legislation</li></ul><br><p><strong>What are we looking for?</strong></p><p>A Food and Beverage Manager serving Hilton brands is always working on behalf of our Guests and working with other Team Members. To successfully fill this role, you should maintain the attitude, behaviours, skills, and values that follow:</p><ul><li>Will have at least 2 years of experience in a Food and Manager role in the hotel industry</li><li>Ability to read listen and communicate effectively in English&nbsp;and Turkish; in writing, using correct grammar, spelling and sentence structure</li><li>Able to meet financial targets</li><li>Ability to comply with all Food and Beverage brand standards</li><li>Willingness to develop team members and self</li></ul><p>It would be advantageous in this position for you to demonstrate the following capabilities and distinctions:</p><ul><li>Degree in relevant area</li><li>Passion for delivering exceptional levels of guest service</li></ul><p><strong>What will it be like to work for Hilton?</strong></p><p>Hilton is the leading global hospitality company, spanning the lodging sector from luxurious full-service hotels and resorts to extended-stay suites and mid-priced hotels. For nearly a century, Hilton has offered business and leisure travelers the finest in accommodations, service, amenities and value. Hilton is dedicated to continuing its tradition of providing exceptional guest experiences across its&nbsp;global brands.&nbsp; Our vision “to fill the earth with the light and warmth of hospitality” unites us as a team to create remarkable hospitality experiences around the world every day.&nbsp; And, our amazing Team Members are at the heart of it all!</p>",Yiyecek İçecek Hizmetleri
3427138,Temizlik Görevlisi - Genel Müdürlük,"<p>Teknoloji perakendeciliğinin öncü firması</p><p>&nbsp;<strong>Vatan Bilgisayar'ın</strong>&nbsp;<strong>Genel Müdürlüğün'de Temizlik Görevlisi&nbsp;</strong>olarak görev alacak çalışma arkadaşı arıyoruz;</p><p>- Tercihen tecrübeli,</p><p>- Diksiyonu düzgün, dinamik, dış görünümüne özen gösteren,</p><p>- Takım Çalışmasına yatkın.</p>",Temizlik Hizmetleri
3427125,Mutfak Elemanı,"<p>**Mutfakta aşçı yanında çalışmak üzere yardımcı eleman alınacaktır.</p><p>Mutfak konusuna eli yatkın tecrübesi olan, bulaşık yıkayacak mutfağı temizleyip servis yapacak eleman aranmaktadır. Görev yeri fatih, Sirkeci'dir.</p><p>Haftasonları çalışması sorun olmayanların başvurusu rica olunur.</p>",Mutfak Hizmetleri
3427119,Temizlik Hizmetleri Şefi,"<p class=""x_MsoNormal"">GENEL NİTELİKLER VE İŞ TANIMI</p><p class=""x_MsoNormal"">Kampüs Kreş&nbsp;, çalışan annelerin en büyük sorunu olan çocuk bakım ihtiyacı nedeniyle, 0-6 yaş arası çocuklara yönelik olarak tasarlanmış, özel mimari ve akıllı bina teknolojisi ile inşa edilmiş , 2012-2013 Eğitim-Öğretim döneminde hizmete girmiştir. Çevre yerleşim yerleri için kolaylıkla ulaşılabilecek konumu, fiziksel altyapısı, izlediği eğitim metodları ve profesyonel kadrosu ile Türkiye’nin en iyi kreşi olma vizyonuna sahip okulumuzda çalışmak üzere&nbsp;<u>Temizlik Şefi&nbsp; &nbsp;</u>arayışımız bulunmaktadır.&nbsp;</p><p class=""x_MsoNormal""><u>GENEL NİTELİKLER ;</u></p><ul type=""disc""><li class=""x_MsoNormal"">En az Lise mezunu, </li><li class=""x_MsoNormal"">Tercihen Okul, Otel ve Hastane, AVM projelerinde temizlik operasyon yönetimi konusunda&nbsp; mavi yaka ekip ve operasyon yönetiminde Temizlik şefi olarak çalışmış, &nbsp;en az 3 yıl deneyime sahip,</li><li class=""x_MsoNormal"">İSG kuralları hakkında bilgi sahibi, </li><li class=""x_MsoNormal"">Hijyen standartları ve kalite beklentisine uyum sağlayabilecek,</li><li class=""x_MsoNormal"">Diksiyonu düzgün, güler yüzlü, iletişim becerisi yüksek, </li><li class=""x_MsoNormal"">Ekip çalışmasına uygun, takım çalışmasına yatkın ve insan ilişkilerinde başarılı,</li><li class=""x_MsoNormal"">İstanbul Anadolu Yakasında ikamet eden. </li></ul><p class=""x_MsoNormal""><u>İŞ TANIMI ;</u></p><p class=""x_MsoNormal""></p><ul><li>Temizlik ve mutfak ekiplerinin yönetimini ve iş planını yapmak,</li><li>Mutfak ve yemekhaneyi organize etmek,</li><li>Okulun bahçe düzeni, havuz temizliğinden sorumlu olmak, aktif sahada yer almak,</li><li>Günlük, haftalık ve bir yıllık iş programı oluşturarak bunların eksiksiz olarak yapılmasını sağlamak,</li><li>Uygun kimyasalları belirlemek, kimyasal ve sarf malzeme tüketiminde günlük ve aylık tüketim çizelgelerine uygun çalışılmasını sağlamak,</li><li>Temizlik ve mutfak ekibinin çalışma takibini yapmak ve operasyonun yürütüldüğü alanlarda periyodik kontrolleri yapmak,</li><li>İşleyişle ilgili aksaklıkları tespit etmek,&nbsp;yerinde ve zamanında düzeltilmesini sağlamak için ilgili ekipleri bilgilendirmek,</li><li>Şirket kaynaklarının kullanımını takip etmek, kullanılan demirbaşların verimli kullanılmasını sağlamak.</li><li>İdari İşler Müdürü’nün delege ettiği tüm işlerin eksiksiz zamanında tamamlayacak.</li></ul><p></p><p class=""x_MsoNormal""></p><p class=""x_MsoNormal""></p><p class=""x_MsoNormal""></p><p class=""x_MsoNormal""></p><p class=""x_MsoNormal""></p><p class=""x_MsoNormal""></p><p class=""x_MsoNormal""></p>",Temizlik Hizmetleri
3427058,Çay Servis ve Temizlik Elemanı,"<p>Tercihen Demeteevler, Batıkent,Yenimahalle de ikamet eden&nbsp; Çay servisi ve ofis temizlik işleri yapacak bayan personel aranmaktadır.</p>",Yiyecek / İçecek Servisi
3427053,Manikürist,<p>ETLİK KEÇİÖRENDE SALONUMUZA MANİKÜR PETÜKÜR İPEK KİRPİK KİRPİK LİFTİNG KAŞ ALIMI AĞDA BİLEN BAKIMINA ÖZEN GÖSTEREN ÇALIŞMA ARKADAŞLARIYLA UYUMLU ELEMEN ARIYORUM</p>,Kuaför ve Makyaj Hizmeti
3427051,Servis Elemanı (Garson),"<p><strong>HYATT REGENCY İZMİR İSTİNYEPARK</strong></p><p>Aralık&nbsp;2022'de hizmete açılan otelimiz, İzmir Körfez manzaralı, modern ve nefes kesen tasarımlarıyla konforu buluşturan 160 odası, özenle dekore edilmiş şıklığı ve lüksü tam anlamıyla yansıtan Regency Suite, Regency Executive Suite ve Penthouse dahil olmak üzere 16 adet suiti ile kendinizi “Evden uzak ama eve çok yakın” hissetmenizi sağlayacak Hyatt Regency İzmir İstinyePark lüksün İzmir’deki yeni adresi. Sahip olduğu özel lokasyonuyla Türkiye’nin gözde tatil destinasyonlarına ve seçkin mağazalarıyla alışveriş keyfini bir adım öteye taşıyan İstinyePark AVM’ye yakınlığıyla dikkat çeken Hyatt Regency İzmir İstinyePark, iş ve turistik amaçlı İzmir’e yolu düşen herkes için yeni buluşma noktasıdır.</p><p class=""x_x_x_x_x_xxxmsonormal""><strong>&nbsp;İŞ TANIMI</strong></p><p class=""x_x_x_x_x_xxxmsonormal""></p><ul><li>&nbsp;Turizm ve Otelcilik eğitimi veren meslek lisesi/meslek yüksekokulu/fakülte mezunu,</li><li>&nbsp;Minimum 1 yıl Yiyecek & İçecek alanında staj veya iş tecrübesi olan,</li><li>Tercihen Mesleki İngilizce bilgisine sahip,</li><li>&nbsp;Misafir memnuniyeti, hizmet ve kalite odaklı çalışabilen,</li><li>&nbsp;Ekip çalışması konusunda başarılı,</li><li>Sözlü iletişimde güçlü, organizasyon becerilerine ve problem çözme becerisine sahip,&nbsp;</li><li>Zaman ve stres yönetiminde başarılı,</li><li>&nbsp;Vardiyalı sisteminde çalışabilen,</li><li>&nbsp;Kariyer gelişimini Yiyecek & İçecek departmanında sürdürmek isteyen,</li><li>&nbsp;İzmir’de ikamet eden,</li></ul><p></p><p></p><p class=""x_x_x_x_x_xxxmsonormal""><strong>Servis Elemanı&nbsp;</strong>(Garson) takım arkadaşları arıyoruz.</p>",Restoran Hizmetleri
